n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;11.2857f;1.08061e-006f;247.826f;8.61731f;0.935372f;0f;0f
2;0.64164f;1.08061e-006f;247.826f;2.02676f;0.306803f;0f;0f
3;0.780403f;1.08061e-006f;247.826f;1.888f;0.276002f;-1.03097f;1.58926f
4;12.9559f;1.08061e-006f;247.826f;10.2875f;1.01231f;-0.00191231f;12.1296f
5;0.884139f;1.08061e-006f;247.826f;1.78426f;0.251459f;558.285f;0f
6;0.985802f;1.08061e-006f;247.826f;1.6826f;0.225981f;-0.882083f;0.914907f
7;7.8587f;1.08061e-006f;247.826f;5.1903f;0.715192f;-0.00900837f;6.7328f
8;1.2418f;1.08061e-006f;247.826f;1.42661f;0.154304f;88.0625f;1.259e-073f
9;1.47565f;1.08061e-006f;247.826f;1.19276f;0.0765515f;-0.747323f;0.959911f
10;4.31906f;1.08061e-006f;247.826f;1.65066f;0.217656f;-0.0913729f;2.48988f
11;2.05593f;1.08061e-006f;247.826f;0.612472f;-0.212914f;8.50741f;0.00031168f
12;2.38054f;1.08061e-006f;247.826f;0.287861f;-0.540818f;-0.0709565f;0.343979f
13;2.75311f;1.08061e-006f;247.826f;0.0847059f;-1.07209f;-9.97026f;5.00459e-006f
14;2.65879f;1.08061e-006f;247.826f;0.00960792f;-2.01737f;1.68562f;0.498155f
15;2.6681f;1.08061e-006f;247.826f;0.000299341f;-3.52383f;1.48271f;0.308528f
16;2.6684f;1.08061e-006f;247.826f;1.08049e-006f;-5.96638f;1.63904f;0.640938f
17;2.6684f;1.08061e-006f;247.826f;1.21218e-010f;-9.91643f;0f;0f
