n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;2.250000000000000f;0.000000000000000f;-1.#INF00000000000f;0.418401648721945f;-0.378406612789367f;0.000000000000000f;0.000000000000000f
2;2.625000000000000f;0.375000000000000f;-0.425968732272281f;0.043401648721945f;-1.362493772394343f;0.000000000000000f;0.000000000000000f
3;2.812500000000000f;0.187500000000000f;-0.726998727936262f;0.144098351278055f;-0.841340988200161f;1.000000000000000f;0.500000000000000f
4;2.718750000000000f;0.093750000000000f;-1.028028723600243f;0.050348351278055f;-1.298014746412576f;1.000000000000000f;0.500000000000000f
5;2.671875000000000f;0.046875000000000f;-1.329058719264225f;0.003473351278055f;-2.459251292011378f;1.000000000000000f;0.500000000000000f
6;2.648437500000000f;0.023437500000000f;-1.630088714928206f;0.019964148721945f;-1.699749203538463f;1.000000000000000f;0.500000000000000f
7;2.660156250000000f;0.011718750000000f;-1.931118710592187f;0.008245398721945f;-2.083788338375607f;1.000000000000000f;0.500000000000000f
8;2.666015625000000f;0.005859375000000f;-2.232148706256168f;0.002386023721945f;-2.622325242870817f;1.000000000000000f;0.500000000000000f
9;2.668945312500000f;0.002929687500000f;-2.533178701920150f;0.000543663778055f;-3.264669601180384f;1.000000000000000f;0.500000000000000f
10;2.667480468750000f;0.001464843750000f;-2.834208697584131f;0.000921179971945f;-3.035655512922732f;1.000000000000000f;0.500000000000000f
11;2.668212890625000f;0.000732421875000f;-3.135238693248112f;0.000188758096945f;-3.724094409854813f;1.000000000000000f;0.500000000000000f
12;2.668579101562500f;0.000366210937500f;-3.436268688912093f;0.000177452840555f;-3.750917044343705f;1.000000000000000f;0.500000000000000f
13;2.668395996093750f;0.000183105468750f;-3.737298684576075f;0.000005652628195f;-5.247749579591083f;1.000000000000000f;0.500000000000000f
14;2.668487548828125f;0.000091552734375f;-4.038328680240055f;0.000085900106180f;-4.066006299341938f;1.000000000000000f;0.500000000000000f
15;2.668441772460938f;0.000045776367188f;-4.339358675904037f;0.000040123738993f;-4.396598603363154f;1.000000000000000f;0.500000000000000f
16;2.668418884277344f;0.000022888183594f;-4.640388671568018f;0.000017235555399f;-4.763574717316073f;1.000000000000000f;0.500000000000000f
17;2.668407440185547f;0.000011444091797f;-4.941418667231999f;0.000005791463602f;-5.237211668749656f;1.000000000000000f;0.500000000000000f
18;2.668401718139648f;0.000005722045898f;-5.242448662895980f;0.000000069417704f;-7.158529757370122f;1.000000000000000f;0.500000000000000f
19;2.668398857116699f;0.000002861022949f;-5.543478658559962f;0.000002791605246f;-5.554145994273805f;1.000000000000000f;0.500000000000000f
20;2.668400287628174f;0.000001430511475f;-5.844508654223943f;0.000001361093771f;-5.866111953536247f;1.000000000000000f;0.500000000000000f
21;2.668401002883911f;0.000000715255737f;-6.145538649887924f;0.000000645838034f;-6.189876382750193f;1.000000000000000f;0.500000000000000f
22;2.668401360511780f;0.000000357627869f;-6.446568645551905f;0.000000288210165f;-6.540290705844578f;1.000000000000000f;0.500000000000000f
23;2.668401539325714f;0.000000178813934f;-6.747598641215887f;0.000000109396231f;-6.960997641409100f;1.000000000000000f;0.500000000000000f
24;2.668401628732681f;0.000000089406967f;-7.048628636879868f;0.000000019989264f;-7.699203205382970f;1.000000000000000f;0.500000000000000f
