n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;25.6667f;0f;-84.2964f;22.9983f;1.3617f;0f;0f
2;17.1207f;0f;-84.2964f;14.4523f;1.15994f;0f;0f
3;11.4354f;0f;-84.2964f;8.76702f;0.942852f;1.01226f;0.647998f
4;7.67205f;0f;-84.2964f;5.00365f;0.699287f;1.04063f;0.616819f
5;5.2223f;0f;-84.2964f;2.5539f;0.407203f;1.1293f;0.548431f
6;3.71376f;0f;-84.2964f;1.04536f;0.0192638f;1.36385f;0.444482f
7;2.93504f;0f;-84.2964f;0.26664f;-0.574075f;1.76024f;0.377637f
8;2.69189f;0f;-84.2964f;0.0234899f;-1.62912f;2.01539f;0.402521f
9;2.66861f;0f;-84.2964f;0.000204381f;-3.68956f;2.01875f;0.404439f
10;2.6684f;0f;-84.2964f;1.56525e-008f;-7.80542f;2.0012f;0.378609f
11;2.6684f;0f;-84.2964f;0f;-1.#INFf;1.#INFf;-1.#INDf
12;2.6684f;0f;-84.2964f;0f;-1.#INFf;0f;0f
