n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;0.747540983606557;0.000000000000000;-inf;1.920860665115387;0.283495863265553;0.000000000000000;0.000000000000000
2;1.109118786646279;0.361577803039721;-0.441798238355010;1.559282862075666;0.192924905628562;0.000000000000000;0.000000000000000
3;1.606014795374170;0.496896008727891;-0.303734491671481;1.062386853347775;0.026282687820400;0.410786443960229;0.754658096133038
4;2.172228300599436;0.566213505225266;-0.247019776131529;0.496173348122509;-0.304366567500709;-2.778003772408854;0.081134331129623
5;2.566165080090498;0.393936779491062;-0.404573469852612;0.102236568631447;-0.990393735177809;3.828662498281731;3.476817407318034
6;2.664386591242948;0.098221511152451;-1.007793388468291;0.004015057478997;-2.396308233042250;2.302923724251485;0.839283052289412
7;2.668395601339530;0.004009010096582;-2.396962849989387;0.000006047382415;-5.218432567296218;2.031048608317124;0.446595671138828
8;2.668401648708240;0.000006047368710;-5.218433551528457;0.000000000013705;-10.863119784308772;2.000618411419698;0.377549985260582
9;2.668401648721945;0.000000000013705;-10.863119784308772;0.000000000000000;-inf;inf;-nan
10;2.668401648721945;0.000000000000000;-inf;0.000000000000000;-inf;0.000000000000000;0.000000000000000
