n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;0.920828379350472f;0.000000000000000f;-1.#INF00000000000f;0.020828379350472f;-1.681344521052206f;0.000000000000000f;0.000000000000000f
2;0.897725859899259f;0.023102519451214f;-1.636340655428455f;0.002274140100741f;-2.643182783665577f;0.000000000000000f;0.000000000000000f
3;0.900252629961955f;0.002526770062696f;-2.597434277290915f;0.000252629961955f;-3.597515143329580f;0.992955800183821f;0.106507371683523f
4;0.899971930075886f;0.000280699886068f;-3.551757763638920f;0.000028069924114f;-4.551758761470330f;0.999916194341269f;0.111034728240640f
5;0.900003118880359f;0.000031188804472f;-4.506001272278509f;0.000003118880359f;-5.506001284598195f;0.999998965809306f;0.111109915718955f
6;0.899999653457738f;0.000003465422621f;-5.460243794048341f;0.000000346542262f;-6.460243794145736f;0.999999987194870f;0.111111093194330f
7;0.900000038504696f;0.000000385046958f;-6.414486303598975f;0.000000038504696f;-7.414486303724197f;1.000000000408261f;0.111111111652959f
8;0.899999995721701f;0.000000042782995f;-7.368728813539188f;0.000000004278299f;-8.368728816920184f;1.000000000656133f;0.111111112059743f
9;0.900000000475367f;0.000000004753666f;-8.322971324105511f;0.000000000475367f;-9.322971303819537f;0.999999966930882f;0.111111048479698f
10;0.899999999947181f;0.000000000528185f;-9.277213803115876f;0.000000000052819f;-10.277213711829010f;0.999999744895468f;0.111110575684934f
11;0.900000000005869f;0.000000000058687f;-10.231456038694660f;0.000000000005869f;-11.231454395535039f;1.000002008951509f;0.111115949544669f
12;0.899999999999348f;0.000000000006521f;-11.185700191299823f;0.000000000000652f;-12.185729769348047f;0.999998278044636f;0.111106183361718f
13;0.900000000000073f;0.000000000000725f;-12.139942700739148f;0.000000000000072f;-13.139676588915929f;0.999442426131408f;0.109526859816261f
14;0.899999999999992f;0.000000000000081f;-13.093653149490910f;0.000000000000008f;-14.091266910070548f;0.000000000000000f;0.000000000000000f
